"","V1","V2","V3","V4"
"1",-79,-79.2,125.8,13
"2",58,57.8,70.8,9
"3",-21,-33.8,-20.8,9
"4",-55,-55.2,-51.8,7
"5",-64,-64.2,140.8,13
"6",-7,-58.2,-6.8,11
"7",-82,-82.2,122.8,13
"8",49,48.8,100.2,11
"9",81,-123.8,81.2,13
"10",11,-40.2,11.2,11
"11",-46,-97.2,-45.8,11
"12",-28,-28.2,-15.2,9
"13",70,18.8,70.2,11
"14",-31,-31.2,20.2,11
"15",-83,-83.2,121.8,13
"16",-1,-1.2,2.2,7
"17",52,51.8,103.2,11
"18",-14,-65.2,-13.8,11
"19",-29,-29.2,-16.2,9
"20",57,56.8,69.8,9
"21",94,-110.8,94.2,13
"22",-67,-67.2,137.8,13
"23",-28,-28.2,-15.2,9
"24",61,60.8,73.8,9
"25",-83,-83.2,121.8,13
"26",41,-163.8,41.2,13
"27",5,-46.2,5.2,11
"28",-4,-4.2,8.8,9
"29",-69,-69.2,135.8,13
"30",100,-104.8,100.2,13
"31",-47,-98.2,-46.8,11
"32",43,-161.8,43.2,13
"33",79,-125.8,79.2,13
"34",26,-178.8,26.2,13
"35",41,-163.8,41.2,13
"36",51,50.8,102.2,11
"37",-77,-77.2,127.8,13
"38",-8,-59.2,-7.8,11
"39",-42,-246.8,-41.8,13
"40",77,-127.8,77.2,13
"41",100,-104.8,100.2,13
"42",-44,-95.2,-43.8,11
"43",-71,-71.2,133.8,13
"44",-46,-97.2,-45.8,11
"45",-14,-65.2,-13.8,11
"46",-51,-63.8,-50.8,9
"47",-5,-56.2,-4.8,11
"48",-41,-245.8,-40.8,13
"49",-20,-32.8,-19.8,9
"50",-32,-32.2,172.8,13
"51",42,-162.8,42.2,13
"52",-47,-98.2,-46.8,11
"53",62,61.8,65.2,7
"54",-1,-1.2,2.2,7
"55",-74,-74.2,130.8,13
"56",73,21.8,73.2,11
"57",-32,-32.2,172.8,13
"58",-28,-28.2,-15.2,9
"59",-2,-2.2,10.8,9
"60",6,-45.2,6.2,11
"61",34,-170.8,34.2,13
"62",-94,-94.2,-42.8,11
"63",21,-183.8,21.2,13
"64",-48,-99.2,-47.8,11
"65",-60,-60.2,-47.2,9
"66",-13,-64.2,-12.8,11
"67",-18,-30.8,-17.8,9
"68",5,-46.2,5.2,11
"69",77,-127.8,77.2,13
"70",74,-130.8,74.2,13
"71",-78,-78.2,126.8,13
"72",-57,-57.2,-44.2,9
"73",-77,-77.2,127.8,13
"74",-28,-28.2,-15.2,9
"75",82,-122.8,82.2,13
"76",-83,-83.2,121.8,13
"77",-70,-70.2,134.8,13
"78",-32,-32.2,172.8,13
"79",6,-45.2,6.2,11
"80",96,-108.8,96.2,13
"81",81,-123.8,81.2,13
"82",46,45.8,97.2,11
"83",48,47.8,99.2,11
"84",73,21.8,73.2,11
"85",55,54.8,106.2,11
"86",8,-43.2,8.2,11
"87",55,54.8,106.2,11
"88",4,-47.2,4.2,11
"89",14,-37.2,14.2,11
"90",59,58.8,71.8,9
"91",0,-0.2,0.2,3
"92",43,-161.8,43.2,13
"93",-65,-65.2,139.8,13
"94",-78,-78.2,126.8,13
"95",-15,-66.2,-14.8,11
"96",-80,-80.2,124.8,13
"97",-53,-56.2,-52.8,7
"98",78,-126.8,78.2,13
"99",85,-119.8,85.2,13
"100",71,19.8,71.2,11
