"","V1","V2","V3","V4"
"newton_result",74.45,0.0631714226666268,32,0
"newton_result",66.2545894088639,-0.706167070266775,4,0
"newton_result",-28.9786574544435,-0.202210496268294,4,2
"newton_result",-53.3857076166411,0.0919935679121461,2,1
"newton_result",-53.2119479226455,0.0920378790093399,2,1
"newton_result",-51.8022499885446,0.0944901882288921,2,1
"newton_result",71.45,-0.156632075712683,32,0
"newton_result",72.8641798066303,-0.0372121624063404,2,0
"newton_result",0.026017684636642,1.52696292881376e-07,2,3
"newton_result",-24.8280435529624,-0.378131672358475,2,2
"newton_result",1.09956874894124e-06,5.68734509965434e-12,2,3
"newton_result",-18.55,-0.173044561641887,32,2
"newton_result",63.0606260732559,-0.87991595214889,2,0
"newton_result",0.0124617581012778,6.86122118190039e-08,2,3
"newton_result",70.45,-0.256091300880569,32,0
"newton_result",-0.0471138968001779,-1.84411626838916e-07,2,3
"newton_result",60.2958284907702,-0.798649927746952,2,0
"newton_result",-25.0590832280864,-0.377523001675895,2,2
"newton_result",-19.55,-0.215331140851137,32,2
"newton_result",60.5060677161601,-0.812007736810299,2,0
"newton_result",-56.9308099922564,0.0980616980593364,4,1
"newton_result",-56.4900120539661,0.0968358213453248,4,1
"newton_result",-18.55,-0.173044561641887,32,2
"newton_result",62.7034865303642,-0.881801042055343,2,0
"newton_result",70.45,-0.256091300880569,32,0
"newton_result",0.00766515827129144,4.12187678091349e-08,2,3
"newton_result",-33.25,0.209514763899812,32,2
"newton_result",0.0220644621185251,1.27157755111465e-07,2,3
"newton_result",67.0195257936582,-0.631891130269436,2,0
"newton_result",-53.4646193415197,0.0919888820895083,2,1
"newton_result",3.78970710812609e-07,1.96015394876845e-12,2,3
"newton_result",0.0243429783768834,1.41775047770319e-07,2,3
"newton_result",0.00667628087590799,3.57244639051086e-08,2,3
"newton_result",-12.25,-0.0193869167364195,34,3
"newton_result",0.00766515827129144,4.12187678091349e-08,2,3
"newton_result",66.3000864290745,-0.702000827484424,2,0
"newton_result",76.45,0.142864794859599,32,0
"newton_result",-51.1739503234184,0.0970970664025451,2,1
"newton_result",5.6206414370763e-05,2.90801984635647e-10,2,3
"newton_result",0.00146409755076604,7.63012313188806e-09,2,3
"newton_result",-53.4646193415197,0.0919888820895083,2,1
"newton_result",8.38317615148299e-06,4.33623308860932e-11,2,3
"newton_result",82.45,0.212060836526698,32,0
"newton_result",1.09956874894124e-06,5.68734509965434e-12,2,3
"newton_result",-25.0590832280864,-0.377523001675895,2,2
"newton_result",-24.8525619475646,-0.378114708165166,2,2
"newton_result",-33.8,0.257380241779114,32,2
"newton_result",0.000138736562689701,7.18104584113979e-10,2,3
"newton_result",-22.5322862503261,-0.337256225888312,2,2
"newton_result",-2.75541367500409e-09,-1.4259034420792e-14,2,3
"newton_result",0.0220820618580886,1.27269595133803e-07,2,3
"newton_result",3.78970710812609e-07,1.96015394876845e-12,2,3
"newton_result",62.6114213887331,-0.88166569133182,2,0
"newton_result",-0.0471138968001779,-1.84411626838916e-07,2,3
"newton_result",79.45,0.195112479379712,32,0
"newton_result",19.3546972295064,0.0112381313538998,2,3
"newton_result",-2.75541367500409e-09,-1.4259034420792e-14,2,3
"newton_result",-18.55,-0.173044561641887,32,2
"newton_result",-0.0914504766043404,-2.50041692675864e-07,2,3
"newton_result",-32.25,0.113934984057765,32,2
"newton_result",-4.25,0.000284719418733115,32,3
"newton_result",64.2027560575671,-0.84851444703252,2,0
"newton_result",-17.25,-0.123904932973644,32,2
"newton_result",-56.4435678760494,0.0967115268831528,4,1
"newton_result",-52.5542681432799,0.0926757963599884,2,1
"newton_result",-26.0320534771841,-0.363397058951424,2,2
"newton_result",-24.7875987076904,-0.37813527550515,2,2
"newton_result",-33.25,0.209514763899812,32,2
"newton_result",0.00146409755076604,7.63012313188806e-09,2,3
"newton_result",0.000116097746854393,6.0085508889485e-10,2,3
"newton_result",75.45,0.108904420137791,32,0
"newton_result",-51.2621161074702,0.0966636774045996,2,1
"newton_result",76.45,0.142864794859599,32,0
"newton_result",-18.55,-0.173044561641887,32,2
"newton_result",0.0479123544571678,3.09330143579314e-07,2,3
"newton_result",70.45,-0.256091300880569,32,0
"newton_result",83.45,0.21563574729695,32,0
"newton_result",-2.75541367500409e-09,-1.4259034420792e-14,2,3
"newton_result",-32.25,0.113934984057765,32,2
"newton_result",-56.4435678760494,0.0967115268831528,4,1
"newton_result",0.026017684636642,1.52696292881376e-07,2,3
"newton_result",63.434699934879,-0.873843536226169,2,0
"newton_result",73.7339338580439,0.0222554716762858,2,0
"newton_result",19.3546972295064,0.0112381313538998,2,3
"newton_result",62.5647284730779,-0.881499839473642,2,0
"newton_result",-29.0375033864727,-0.19735290067918,4,2
"newton_result",62.5647284730779,-0.881499839473642,2,0
"newton_result",-34.25,0.293239169582586,32,2
"newton_result",-24.8335848927521,-0.378128816434531,2,2
"newton_result",62.978563722788,-0.880688203369809,4,0
"newton_result",-0.0966783598779521,-2.50909245838092e-07,2,3
"newton_result",0.0243429783768834,1.41775047770319e-07,2,3
"newton_result",-52.3301284939861,0.0930841030697238,2,1
"newton_result",75.45,0.108904420137791,32,0
"newton_result",-24.8144596981124,-0.378136261590599,2,2
"newton_result",73.45,0.00403493555461046,32,0
"newton_result",-53.4646193415197,0.0919888820895083,2,1
"newton_result",0.00318400802285623,1.6739925364277e-08,2,3
"newton_result",0.196579475890559,2.05753142418767e-06,2,3
"newton_result",62.7586628259546,-0.881760158016687,2,0
