"","V1","V2","V3"
"next_interval",-79.6,-40.6,9
"next_interval",57.4,67.6,7
"next_interval",-30.6,-20.4,7
"next_interval",-55.6,-45.4,7
"next_interval",-64.6,89.6,11
"next_interval",-45.4,-6.4,9
"next_interval",-82.6,-43.6,9
"next_interval",48.4,87.4,9
"next_interval",-533.4,81.6,13
"next_interval",-142.6,11.6,11
"next_interval",-84.4,-45.4,9
"next_interval",-28.6,-18.4,7
"next_interval",31.6,70.6,9
"next_interval",-31.6,7.4,9
"next_interval",-83.6,-44.6,9
"next_interval",-1.6,1.4,5
"next_interval",51.4,90.4,9
"next_interval",-52.4,-13.4,9
"next_interval",-29.6,9.4,9
"next_interval",56.4,95.4,9
"next_interval",-520.4,94.6,13
"next_interval",-67.6,86.6,11
"next_interval",-28.6,-18.4,7
"next_interval",60.4,70.6,7
"next_interval",-83.6,-44.6,9
"next_interval",-112.6,41.6,11
"next_interval",-33.4,5.6,9
"next_interval",-4.6,5.6,7
"next_interval",-69.6,84.6,11
"next_interval",-514.4,100.6,13
"next_interval",-85.4,-46.4,9
"next_interval",-110.6,43.6,11
"next_interval",-535.4,79.6,13
"next_interval",-127.6,26.6,11
"next_interval",-112.6,41.6,11
"next_interval",50.4,89.4,9
"next_interval",-77.6,-38.6,9
"next_interval",-46.4,-7.4,9
"next_interval",-195.6,-41.4,11
"next_interval",-76.6,77.6,11
"next_interval",-514.4,100.6,13
"next_interval",-197.6,-43.4,11
"next_interval",-71.6,82.6,11
"next_interval",-84.4,-45.4,9
"next_interval",-52.4,-13.4,9
"next_interval",-60.6,-50.4,7
"next_interval",-43.4,4.6,9
"next_interval",-194.6,-40.4,11
"next_interval",-29.6,-19.4,7
"next_interval",-32.6,121.6,11
"next_interval",-111.6,42.6,11
"next_interval",-85.4,-46.4,9
"next_interval",61.4,64.4,5
"next_interval",-1.6,1.4,5
"next_interval",-74.6,-35.6,9
"next_interval",34.6,73.6,9
"next_interval",-32.6,121.6,11
"next_interval",-28.6,-18.4,7
"next_interval",-2.6,7.6,7
"next_interval",-32.4,6.6,9
"next_interval",-119.6,34.6,11
"next_interval",-94.6,520.4,13
"next_interval",-132.6,21.6,11
"next_interval",-86.4,-47.4,9
"next_interval",-60.6,93.6,11
"next_interval",-51.4,-12.4,9
"next_interval",-56.4,-17.4,9
"next_interval",-33.4,5.6,9
"next_interval",-76.6,77.6,11
"next_interval",35.6,74.6,9
"next_interval",-78.6,-39.6,9
"next_interval",-57.6,-47.4,7
"next_interval",-77.6,-38.6,9
"next_interval",-28.6,-18.4,7
"next_interval",-532.4,82.6,13
"next_interval",-83.6,-44.6,9
"next_interval",-70.6,83.6,11
"next_interval",-32.6,121.6,11
"next_interval",-32.4,6.6,9
"next_interval",-518.4,96.6,13
"next_interval",-533.4,81.6,13
"next_interval",-107.6,84.4,11
"next_interval",47.4,86.4,9
"next_interval",34.6,73.6,9
"next_interval",54.4,93.4,9
"next_interval",-145.6,8.6,11
"next_interval",54.4,93.4,9
"next_interval",-34.4,4.6,9
"next_interval",-139.6,14.6,11
"next_interval",58.4,68.6,7
"next_interval",-0.6,0.6,3
"next_interval",-110.6,43.6,11
"next_interval",-65.6,88.6,11
"next_interval",-78.6,-39.6,9
"next_interval",-53.4,-14.4,9
"next_interval",-80.6,-41.6,9
"next_interval",-55.4,-52.4,5
"next_interval",-536.4,78.6,13
"next_interval",-529.4,85.6,13
"next_interval",32.6,71.6,9
